"","rho","correlation","pval","samples","num_nodes","pearson_r"
"1",0.394625698914751,0.393248650469908,0.014,7700,200,0.28
"2",0.394625698914751,0.39549801191325,0.79,7700,200,0.28
"3",0.394625698914751,0.397836200174435,0.001,7700,200,0.28
"4",0.394625698914751,0.393306738208105,0.021,7700,200,0.28
"5",0.394625698914751,0.396748048928858,0.361,7700,200,0.28
"6",0.394625698914751,0.391955711974474,0.6,7700,200,0.28
"7",0.394625698914751,0.399661393735132,0.139,7700,200,0.28
"8",0.394625698914751,0.39428910788337,0.112,7700,200,0.28
"9",0.394625698914751,0.38986637182043,0.001,7700,200,0.28
"10",0.394625698914751,0.399504241347353,0.014,7700,200,0.28
"11",0.394625698914751,0.396842285708748,0.37,7700,200,0.28
"12",0.394625698914751,0.399334861486923,0.224,7700,200,0.28
"13",0.394625698914751,0.387871788847772,0.064,7700,200,0.28
"14",0.394625698914751,0.395755717012006,0.97,7700,200,0.28
"15",0.394625698914751,0.396069356924659,0.026,7700,200,0.28
"16",0.394625698914751,0.401564961915953,0.146,7700,200,0.28
"17",0.394625698914751,0.400668404371414,0.973,7700,200,0.28
"18",0.394625698914751,0.391222368793619,0.001,7700,200,0.28
"19",0.394625698914751,0.397067975279459,0.977,7700,200,0.28
"20",0.394625698914751,0.400318567225033,0.022,7700,200,0.28
"21",0.394625698914751,0.390701095683636,0.746,7700,200,0.28
"22",0.394625698914751,0.391067891484745,0.111,7700,200,0.28
"23",0.394625698914751,0.394972560022664,0.496,7700,200,0.28
"24",0.394625698914751,0.389203926218184,0.024,7700,200,0.28
"25",0.394625698914751,0.38934894095487,0.906,7700,200,0.28
"26",0.394625698914751,0.392110019079924,0.917,7700,200,0.28
"27",0.394625698914751,0.392309366901668,0,7700,200,0.28
"28",0.394625698914751,0.399217818698123,0.215,7700,200,0.28
"29",0.394625698914751,0.398221352416888,0.094,7700,200,0.28
"30",0.394625698914751,0.395491318507753,0.018,7700,200,0.28
"31",0.394625698914751,0.394093601822856,0.266,7700,200,0.28
"32",0.394625698914751,0.39560900903919,0.291,7700,200,0.28
"33",0.394625698914751,0.393598918392358,0.424,7700,200,0.28
"34",0.394625698914751,0.396645448937255,0.024,7700,200,0.28
"35",0.394625698914751,0.395858918285015,0.206,7700,200,0.28
"36",0.394625698914751,0.394650555511271,0.867,7700,200,0.28
"37",0.394625698914751,0.397495475166357,0.042,7700,200,0.28
"38",0.394625698914751,0.394574704719025,0.024,7700,200,0.28
"39",0.394625698914751,0.390564452766174,0.026,7700,200,0.28
"40",0.394625698914751,0.398581591043533,0.004,7700,200,0.28
"41",0.394625698914751,0.386469064377738,0.003,7700,200,0.28
"42",0.394625698914751,0.39351177444741,0.174,7700,200,0.28
"43",0.394625698914751,0.40240474812221,0.021,7700,200,0.28
"44",0.394625698914751,0.388101104766221,0.672,7700,200,0.28
"45",0.394625698914751,0.394729713293065,0.009,7700,200,0.28
"46",0.394625698914751,0.398482924121784,0.005,7700,200,0.28
