"","0.1","0.2","0.3","0.4","0.5","0.6","0.7","0.8","0.9"
"10",0.275,0.4661,0.5517,0.6051,0.6519,0.7028,0.7553,0.8116,0.875
"20",0.1965,0.3478,0.4629,0.5433,0.5992,0.6551,0.7113,0.7822,0.8625
"50",0.1502,0.2683,0.3651,0.4352,0.492,0.5402,0.6015,0.6901,0.7974
"100",0.1366,0.2513,0.3444,0.4217,0.4744,0.5264,0.5755,0.6537,0.764
"200",0.1511,0.2701,0.3691,0.4418,0.5048,0.5671,0.6342,0.7247,0.8315
