"","cors_true","cors_est"
"1",0.975135183678263,0.97370021918441
"2",0.995006195619089,0.995688374003722
"3",0.947415526806377,0.958751804603228
"4",0.743010990072628,0.73780914255594
"5",0.961968077353391,0.957153209333844
"6",0.990678875791699,0.991236785317251
"7",0.988832660525519,0.989372268879328
"8",0.980704394091254,0.987934098417696
"9",0.942807163175432,0.937758226540056
"10",0.993393228458127,0.993895805387103
"11",0.97884434208816,0.978472101256348
"12",0.92424446419136,0.926617253579112
"13",0.886853075709603,0.902732942299549
"14",0.678518958475925,0.670043106434574
"15",0.963530291587376,0.969788577864531
"16",0.998800475381821,0.99853986650732
"17",0.974045643287163,0.9788406527541
"18",0.58904249383389,0.605166344236486
"19",0.948276285811761,0.947413770507825
"20",0.972533873851372,0.978897042810381
"21",0.997996955888042,0.998038722657773
"22",0.232663908924733,0.236696682635689
"23",0.977657507286097,0.976527506091195
"24",0.976306037920008,0.972823511668805
"25",0.992408329798468,0.992925629027402
"26",0.997571470041681,0.997983638201657
"27",0.935872991724733,0.941592618819421
"28",0.959488376996354,0.958911895797908
"29",0.992613505942753,0.986281235287491
"30",0.934854323898528,0.944607028897668
"31",0.994774383934256,0.993744671148817
"32",0.986519393442265,0.990723292808181
"33",0.871252053713817,0.864777342410472
"34",0.979212460779525,0.977274674724361
"35",0.876278772869812,0.891968911766007
"36",0.850782964734199,0.84773202698936
"37",0.792555677165552,0.789133988507719
"38",0.980310464617252,0.980419194557458
"39",0.805644940045639,0.80513131598879
"40",0.99066360162306,0.987365146501344
"41",0.97560704451467,0.974077028228272
"42",0.811706688175187,0.815470213075728
"43",0.996545288960001,0.996654634388203
"44",0.993730567216969,0.993770469054469
"45",0.997120317612505,0.997246912451299
"46",0.995670167912695,0.995604028962611
"47",0.985444863291071,0.988619418547531
"48",0.980478124083411,0.979711538103128
"49",0.995950130264192,0.995820879178022
"50",0.99509108021891,0.993908682266271
"51",0.936338213384083,0.93941496597235
"52",0.976124024382391,0.976536981358401
"53",0.992094256642662,0.992195650299314
"54",0.996452729178594,0.996448730015195
"55",0.996146007654789,0.995986004167138
"56",0.995559338606117,0.995678233376394
"57",0.381451088295722,0.440326104672805
"58",0.791160368552893,0.825742125936379
"59",0.994542788058691,0.994779053563141
"60",0.991948738816284,0.992009363094563
"61",0.996335807314152,0.996712125564349
"62",0.997792248479358,0.997084324969779
"63",0.997977282127428,0.997883755906586
"64",0.954172893339159,0.964984354625368
"65",0.95201453342836,0.953434635540295
"66",0.96809703695666,0.965907401404396
"67",0.98651080007877,0.983002689618385
"68",0.99615207800347,0.995679856381338
"69",0.915160132769062,0.898922539608196
"70",0.989786783254906,0.989239802760452
"71",0.982426211673748,0.983345999391153
"72",0.656930403894299,0.508864050022634
"73",0.975030945421067,0.974670313416219
"74",0.88196910563683,0.907775276871892
"75",0.981354705995993,0.981410517768968
"76",0.99446118207001,0.995717333214527
"77",0.59957474792808,0.611344813951603
"78",0.995753354655304,0.995984657223015
"79",0.998474714200586,0.998512763239497
"80",0.989614505503116,0.989727175342557
"81",0.993971118831881,0.994065578675938
"82",0.995376533885829,0.99595707904061
"83",0.984942545892354,0.98732523244548
"84",0.982991741858171,0.981267542389058
"85",0.528327486653178,0.625039084144338
"86",0.997730735376725,0.99775982914631
"87",0.965550748849431,0.970184520098132
"88",0.972403901214869,0.980611660118499
"89",0.99413724280742,0.993894252482243
"90",0.583459605062565,0.588964859902659
"91",0.988936930604725,0.99023573967679
"92",0.998137627974101,0.998216215953002
"93",0.997544829600638,0.997903725388121
"94",0.976587109233019,0.97739991076372
"95",0.880843214249286,0.879030663975416
"96",0.989811485806906,0.990683693667612
"97",0.899677831764432,0.877201703955048
