"","mean_sampling","cors_true","cors_est","cors_est_lb","cors_est_ub","evs_true","evs_est","evs_est_lb","evs_est_ub","a","b","cv_true"
"1",994.294734538998,0.495619447071897,0.379797983980124,0,0,0.230218814884007,0.144120932567694,0,0,9848.75210031461,3637.49194584908,0.0100121056281636
"2",25.1343358261511,0.695089977492099,0.660082106251096,0,0,0.587410873155809,0.425221282964946,0,0,190.202534654822,20.7354334732566,0.0684342926393929
"3",259.356797977816,0.545290872377366,0.43142585867804,0,0,0.266453602345076,0.185699419153299,0,0,5807.13900125936,852.008481222883,0.0137724890059242
"4",863.025710035581,0.893136235983265,0.880412491157927,0,0,0.772264341732517,0.774931863581057,0,0,478.8348469969,281.667175809097,0.0486049265408836
"5",365.910840258002,0.72782708275452,0.728133774240929,0,0,0.533370589812884,0.529499568730228,0,0,1092.71239467212,327.058877897233,0.0304880294734208
"6",433.702200681437,0.27990156575707,0.337815520824023,0,0,0.103044413758911,0.11388444195653,0,0,8999.2366361178,3725.66025015857,0.010559017434566
"7",791.064944735263,0.495963420555548,0.390859017411042,0,0,0.354322525521571,0.152592374324634,0,0,15552.6220536132,1687.29494152247,0.00758230682166474
"8",287.1802005684,0.459625861352552,0.479659869615047,0,0,0.225668760895548,0.229440760391688,0,0,7026.70764716544,955.378743142586,0.0118187956389956
"9",838.322170409374,0.0333616525902878,0.00186708486845064,0,0,0.00243211315308146,3.48176376275491e-06,0,0,1353121.06600523,359355.268194706,0.00086107846997639
"10",370.740461223759,0.975600295412912,0.973451015259371,0,0,0.942082993008181,0.94750865575542,0,0,55.4131651634752,23.3833770895055,0.144594194827046
"11",201.047182313632,0.559988087798715,0.614096559926617,0,0,0.311295259775392,0.375984302149025,0,0,1402.9878910713,396.672527877442,0.026815938276893
"12",973.492767368443,0.297789554564677,0.261396622479585,0,0,0.0906234939146219,0.0682649238609574,0,0,91400.7254668728,10300.9576678065,0.00336255641826254
"13",151.180264498107,0.112798268307947,0.0734830753351907,0,0,0.015741551859092,0.00536414923377444,0,0,86982.4850471271,9556.62283115617,0.00341378635960135
"14",629.185285223648,0.792376080509158,0.787977270201911,0,0,0.643006345404424,0.620524543945384,0,0,2406.10017778978,346.92597598887,0.0197404565905053
"15",431.308276245836,0.213548538264253,0.173034124568491,0,0,0.0449295366907792,0.029872473098315,0,0,53214.281860974,9096.43215251097,0.00429159837408056
"16",99.8465856281109,0.269605889271288,0.307456035424166,0,0,0.0772707950115968,0.0936478815849534,0,0,3096.80576878588,1141.62109759068,0.0177919932853347
"17",41.2008968647569,0.51522723814501,0.347465337042885,0,0,0.324673666791478,0.117607050180769,0,0,613.428807602694,108.083784483012,0.0403942424640344
"18",972.349672163837,0.583261200479117,0.558729501088432,0,0,0.210356706875766,0.311971756912098,0,0,11788.0200563395,2575.51528422698,0.00835585344976592
"19",747.145095556043,0.61600117480605,0.615168387392891,0,0,0.380091758395227,0.378122601892728,0,0,8514.2641337084,1221.04253170226,0.0108306534182529
"20",216.930242055096,0.242385663420434,0.99741574058474,0,0,0.0514061044207964,0.994794174451628,0,0,21137.5434063357,3522.02188579535,0.00670104007678288
"21",478.534267931245,0.31321404717242,0.241789248797015,0,0,0.0997455237435527,0.0583501510295803,0,0,30473.4215150748,4321.40587628083,0.00560665906962616
"22",363.147841012105,0.455056129365273,0.578333720408879,0,0,0.276578906716377,0.333815355778486,0,0,4844.03642696063,968.419792451851,0.0151650305252454
"23",296.910702527966,0.858315797852354,0.846955893738656,0,0,0.779490287936777,0.716546167288597,0,0,494.050415102782,113.190770700048,0.0460691009885742
"24",148.681030920707,0.648031887548086,0.654618353143741,0,0,0.378264040365531,0.427047127431304,0,0,1976.50088792596,207.670590531437,0.0219317260822856
"25",267.590220910497,0.450774633621766,0.455524515205855,0,0,0.212370165633189,0.206876548135386,0,0,5137.69895225299,984.511968354969,0.0138909019644925
"26",303.28684711596,0.609736699985867,0.601051926522686,0,0,0.393043157521991,0.360500012494236,0,0,2446.35242092714,491.800592450062,0.0202261504852549
"27",431.340648685582,0.311420626835759,0.355073325070883,0,0,0.085328960935807,0.125816155055064,0,0,22247.5898192019,4431.89201985387,0.00670249967552886
"28",979.168113395572,0.783604709213216,0.775866308800041,0,0,0.627294665091032,0.60171836590586,0,0,2337.00312941883,634.420779396228,0.0208942924074562
"29",561.840581626166,0.108884805455465,0.21291866362213,0,0,0.000729639554589489,0.0452616410372832,0,0,5011510.34835963,547507.830471669,0.000386104546814782
"30",482.517497914378,0.999755296047487,0.999765100824023,0,0,0.997743150115925,0.99952938940688,0,0,1.95173321368669,0.200639917432946,0.70245823208571
"31",655.129471640103,0.905877644356131,0.897776000426054,0,0,0.727678413957325,0.805737949468765,0,0,615.5735085675,194.088576776407,0.0425598690398392
"32",893.184973523021,0.148932837240592,0.233623952048638,0,0,0.0267479541378463,0.0545230623623006,0,0,295257.311377245,32800.7775326282,0.00187516520533738
"33",683.037303087767,0.391188349841362,0.367377279136611,0,0,0.200187232856346,0.13479360804878,0,0,13406.6784111628,2963.46397373481,0.00864767095916189
"34",913.958753715269,0.760895815332595,0.701782736709474,0,0,0.479739638062819,0.492203045849577,0,0,4473.18310761146,780.755710795289,0.0135314344146819
"35",947.404997819103,0.74388855182669,0.705046193063093,0,0,0.263009275448519,0.496824051473504,0,0,10401.4573986572,1545.88978804326,0.00906953429166273
"36",189.625855814666,0.163993279626966,0.996955621850364,0,0,0.0296098099992704,0.993997506132691,0,0,36940.4228908893,6252.06888924282,0.00523121297782121
"37",215.678996306378,0.618219413106143,0.613762580144616,0,0,0.369359717251183,0.375625373748867,0,0,2058.31899272725,367.072329255118,0.0221672560262017
"38",310.029486962594,0.468173659388947,0.441955688519426,0,0,0.235347052279936,0.194822764648004,0,0,6330.29406863049,1110.48712307536,0.0128622511304862
"39",11.7670385236852,0.0860139193674869,0.160107519841319,0,0,0.00712076417758296,0.0232763593239821,0,0,12693.9276948315,1433.53106202815,0.00878691221776206
"40",559.396705259569,0.499401498466857,0.530412545778017,0,0,0.185502364195077,0.280933851330816,0,0,20361.0480369211,2151.37056845201,0.00705779941128424
"41",806.880189536605,0.0359720057866277,0.00212338937184475,0,0,0.000555307141186667,4.50233764564028e-06,0,0,1729634.70864024,1495558.70269781,0.00076390569752085
"42",497.935024532489,0.119233832451707,0.0947448005544607,0,0,0.0141725732771692,0.00895859852174163,0,0,244320.23335757,33984.3381228982,0.00200107433897803
"43",591.255160982255,0.596798374116241,0.553195375598584,0,0,0.402791068876495,0.305647224984146,0,0,6596.72287961666,892.534031944638,0.0115448579977233
"44",431.622118547093,0.338125369855164,0.00237962160523421,0,0,0.111633509752008,5.64955464752298e-06,0,0,28664.5516633717,3954.94126714144,0.00590117449561861
"45",609.028683798388,0.679137285124561,0.640451066954757,0,0,0.4253365434816,0.409701753596804,0,0,5557.43773375434,792.931859563644,0.0130001251582623
"46",939.57158472389,0.839357042588247,0.835710696130553,0,0,0.703067900349326,0.69818253487386,0,0,761.653336899039,398.057059674863,0.0360195564087172
"47",746.509381865617,0.422739885716168,0.41139158211352,0,0,0.198291058556551,0.169049206894676,0,0,29507.3687248919,3094.62995664988,0.00578977868611577
"48",815.60079552466,0.848450500958495,0.827662844583738,0,0,0.678302242576492,0.684761865326538,0,0,3261.88213069491,389.271462814073,0.0177963354273774
"49",787.110613982659,0.747178465748079,0.803824788137616,0,0,0.624332720883166,0.645908762912003,0,0,5065.18992266929,535.853173830906,0.0154538205628527
"50",290.666336587165,0.0364570867521167,0.00182008047596444,0,0,6.19289172196337e-05,3.30089795715723e-06,0,0,5847799.55522543,4855121.72869561,0.000416597068579974
"51",454.955720547587,0.170008368398469,0.144775138237896,0,0,0.032167901308755,0.0209078017847397,0,0,14824.9956601551,13813.4934857407,0.00819920912106168
"52",298.791759263258,0.598396547590809,0.60879645921848,0,0,0.36419738447897,0.369850523165049,0,0,801.095245743429,506.434128209596,0.0350584852249547
"53",877.301792537328,0.719771552248707,0.700442944830671,0,0,0.517802845729494,0.490324791261164,0,0,6404.09746422642,820.826777062985,0.0121895258785387
"54",523.334399543237,0.0840013831179418,0.00200606240800261,0,0,0.00646097135200845,4.016950603068e-06,0,0,213074.326860967,81900.8195208218,0.00216281467355294
"55",716.657919213176,0.608172720950068,0.624213415596769,0,0,0.343887261467804,0.389289355581988,0,0,8363.19467284943,1116.33718288128,0.0102678355895718
"56",44.5309556019492,0.963079107960768,0.963438414003982,0,0,0.9044079865795,0.926697700518551,0,0,32.1140785161299,3.49515065144979,0.177873789061216
"57",33.9580814680085,0.661478583375884,0.680341761707814,0,0,0.490137290201374,0.454379157217752,0,0,218.91722757928,36.1240008961402,0.0665631566951756
"58",295.160648107994,0.251743546174174,0.333399016326245,0,0,0.071587502347944,0.110819530499654,0,0,29827.0952483177,3812.33305857957,0.00590487676456531
"59",44.7683349763975,0.583464880639167,0.616272649625493,0,0,0.384851011564277,0.374488482422564,0,0,171.328989430807,71.3228721519049,0.0772748249766519
"60",711.89263375476,0.855813341383507,0.85594046856738,0,0,0.703834895007535,0.732394438472121,0,0,791.465657065508,254.835729958676,0.0345679953616298
