"","cors_true","cors_est"
"1",0.22603393745422,0.242070337781251
"2",0.282887047033654,0.31552863701714
"3",0.280739580666395,0.121886857206163
"4",0.468658791403902,0.518759428715136
"5",0.722678869168314,0.805641971264174
"6",0.510490669833147,0.58867931363607
"7",0.298765348146709,0.280579280709969
"8",0.788488218157261,0.886857030448212
"9",0.435966453770735,0.458900138980446
"10",0.505141644051349,0.554646455143705
"11",0.832199895769825,0.917622063616646
"12",0.672895170152482,0.79155046439977
"13",0.603597216513375,0.655175786493838
"14",0.787691867352729,0.881582884337311
"15",0.817279926969123,0.885933637093111
"16",0.703510486080553,0.766701015085057
"17",0.859941057136963,0.932007799383167
"18",0.685696975270965,0.766644937028926
"19",0.699175530922542,0.770793530508013
"20",0.804800966747399,0.870524369628182
"21",0.471320658329904,0.522589189300931
"22",0.781858952406751,0.887034928817905
"23",0.37555751674236,0.472940876147696
"24",0.622148856265861,0.697746250128992
"25",0.603651791200791,0.686887945175722
"26",0.736487913699401,0.802986976888929
"27",0.316451775988662,0.00122929572385506
"28",0.549830760037888,0.755552371586346
"29",0.912036645159694,0.975434556871954
"30",0.431327942010592,0.474806503894886
"31",0.846434059863718,0.899198837716789
"32",0.860606748272015,0.93959249153535
"33",0.471880833347848,0.502556448921534
"34",0.349226942272505,0.388014726534941
"35",0.503293048296714,0.528139072685555
"36",0.648651926771547,0.737319591946803
"37",0.854940096819876,0.952539436476223
"38",0.453126446374983,0.493458253867979
"39",0.903406974868878,0.967810333741836
"40",0.592622848303937,0.682245697329018
"41",0.626370911871028,0.625357371373887
"42",0.458885038655474,0.604338131886012
"43",0.665010634415469,0.789711279161994
"44",0.704946442245638,0.803553287053933
"45",0.741498662350111,0.810097040105705
"46",0.755038929796813,0.829276389197231
"47",0.387318804665575,0.410057780725486
"48",0.635376877602281,0.710913918336443
"49",0.768834657874999,0.899825882183558
"50",0.76664001611171,0.842246216980505
"51",0.765734437199184,0.866690215840108
"52",0.393607134124499,0.0007190934638189
"53",0.805462886014764,0.889914555538396
"54",0.493978745429413,0.507655261233525
"55",0.642468683314956,0.000619998014898053
"56",0.473313992700707,0.513389961191183
"57",0.540364593924759,0.596969850774686
"58",0.691207773103489,0.79292819699131
"59",0.531035237608209,0.589743045240444
"60",0.881666141599843,0.934355877860265
"61",0.944688791571214,0.893700464593633
"62",0.419555306509866,0.409637287907983
"63",0.784361073149126,0.915947820673565
"64",0.614375952388527,0.684017818620641
"65",0.389697868974094,0.418996955791286
"66",0.549224619749472,0.588133708826798
"67",0.80836167757947,0.903829752382345
"68",0.110240654649461,0.0877640565703576
"69",0.877716785556456,0.950618214503671
"70",0.669992248541996,0.743251004723466
"71",0.87321021032509,0.940509253686264
"72",0.119449787261299,0.00120282058464418
"73",0.882128783737486,0.957822146094714
"74",0.675839085075985,0.741452052208707
