"","mean_sampling","cors_true","cors_est","cors_est_lb","cors_est_ub","evs_true","evs_est","evs_est_lb","evs_est_ub"
"1",7.42579105729237,0.710384178816636,0.713300013449165,0.770546002637081,0.646048336440769,0.54450852316043,0.508796909186579,0.593741142179984,0.417378453017885
"2",13.9907701672055,0.807896689700303,0.817319647942198,0.866561099680869,0.765706270851809,0.809483655798775,0.668011406912358,0.750928139480117,0.586306093221784
"3",8.91559772309847,0.78847519929998,0.76119000561597,0.829673120438633,0.678811654099933,0.603433750534708,0.579410224649641,0.688357486778378,0.460785261741887
"4",9.83648728602566,0.922463132790262,0.96704911023385,0.974781214812593,0.956670292274375,0.816031028780997,0.93518398160408,0.950198416751514,0.915218048120339
"5",1.67149568116292,0.61786307039898,0.697065954869843,0.807637807232998,0.567766007725826,0.197057543914992,0.485900945438606,0.652278827672126,0.322358239528922
"6",6.1812814748846,0.722330180093278,0.733142617096275,0.807268990875953,0.64031013368987,0.531063147936491,0.537498097002776,0.65168322362988,0.409997067305939
"7",11.2548889617901,0.917357995396356,0.907662896480493,0.932303786761899,0.880788251802393,0.747358415777776,0.823851933647358,0.869190350810577,0.775787944513115
"8",16.0307044561487,0.91820459753146,0.93192762843142,0.948724340326732,0.905583993026335,0.829658042843792,0.868489104633811,0.900077873928393,0.820082368425522
"9",2.70886753546074,0.456747977561929,0.6056858106522,0.69542211523024,0.514441624039615,0.493204186176505,0.366855301225413,0.483611918351302,0.264650184544516
"10",19.616235661786,0.856314215882836,0.870912876355228,0.896461619999614,0.833647572148437,0.750352577677454,0.758489238201337,0.803643436132332,0.694968274548983
"11",12.4773504091427,0.850598621250989,0.829973467121552,0.874051437587505,0.780971260138312,0.640263683613082,0.68885595612577,0.763965915548785,0.609916109162023
"12",2.21981089841574,0.69299208312791,0.729034449420126,0.788266734271064,0.662830187988411,0.442238880970587,0.531491228441306,0.621364444358369,0.439343858108752
"13",19.1254864679649,0.795426211752077,0.813287352850291,0.86161512164918,0.755832156071497,0.558247327500471,0.661436318306233,0.74238061785453,0.571282248151688
"14",15.0402998623904,0.927770386304707,0.933445280592136,0.955877742981315,0.904368821330293,0.644363025723745,0.871320091859732,0.913702259527052,0.817882964994344
"15",3.26318373274989,0.596787713703873,0.591528173409804,0.711819756445889,0.475125147901766,0.213953540482837,0.349905579937539,0.506687365666685,0.225743906168675
"16",10.2384013896808,0.930558196493367,0.902935812590147,0.930519453855208,0.863470201776921,0.769367353091932,0.815293081657829,0.865866454002994,0.745580789356677
"17",19.1116491779685,0.80744700708307,0.813585511316119,0.859576627951843,0.76228297259783,0.506764765422844,0.661921384223511,0.738871979321061,0.581075330312584
"18",9.56103489827365,0.83361004332894,0.850307800436475,0.89561746981858,0.795983849398656,0.758855090612838,0.723023355483116,0.802130652244235,0.633590288503503
"19",17.7352253955323,0.908531242116265,0.890514225111481,0.925865320608891,0.844273625909693,0.777392416225364,0.793015585125901,0.857226591906204,0.712797955406701
"20",19.1486182925291,0.84341482499699,0.858794694860507,0.896771633999767,0.812531872139041,0.751285736467189,0.737528327920552,0.804199363546613,0.660208043241775
"21",17.9461777333636,0.871464875396807,0.872223885830907,0.904604687361052,0.838206981754696,0.82663428897657,0.760774507013967,0.818309640395587,0.702590944262318
"22",18.8740161822643,0.88274795507132,0.882269294541503,0.915747584473348,0.839905631249806,0.691514559592628,0.778399108090762,0.838593638468771,0.705441469405135
"23",10.2484746072441,0.932875072491245,0.925195709791786,0.946752288851743,0.904629245053534,0.810379677852877,0.855987101417127,0.896339896446013,0.818354071006127
"24",2.20178243308328,0.595733322284905,0.645841841282444,0.738711968022012,0.546575181862827,0.573686083954824,0.417111683951097,0.545695371698954,0.298744429428382
"25",7.34452914167196,0.804696415762828,0.856564278698068,0.896269242293173,0.805714895001912,0.667707678904521,0.733702363541541,0.803298554680777,0.649176492027943
"26",11.6044668063987,0.908263236123745,0.846102793421347,0.884660220530193,0.795679049779909,0.780228709902505,0.715889937035407,0.782623705788529,0.633105150258659
"27",5.62989130429924,0.627096791757914,0.732761930257186,0.819870929398907,0.645975263134256,0.498141004412563,0.536940046434236,0.672188340873428,0.417284040581372
